sensor_id,temperature,humidity,timestamp,status
2,26.745760575440602,80.73013793243717,1778827669.8913527,HIGH
2,23.441956850304283,45.51828540027277,1778827669.9432583,NORMAL
3,24.63790333342817,35.06356750986683,1778827669.9946852,NORMAL
1,28.906580306942917,56.761842523634854,1778827670.0457315,HIGH
1,31.358061911127805,54.603154264281414,1778827670.096282,HIGH
3,32.03836263100335,70.71855955794352,1778827670.147131,HIGH
4,39.93516968367307,86.78349865233274,1778827670.1977954,HIGH
2,34.52066776320372,32.69794207011448,1778827670.248591,HIGH
4,29.551909151214925,72.89898303324074,1778827670.299313,HIGH
4,22.93758206198875,71.47505702302516,1778827670.350309,NORMAL
3,37.67872765360759,63.544032890588525,1778827670.4014778,HIGH
4,26.936740997342888,80.40597492672475,1778827670.4523997,HIGH
3,26.81767607988419,77.96325063840047,1778827670.5032756,HIGH
5,21.96501582283443,52.263023790551124,1778827670.5540981,NORMAL
5,23.190228488515405,41.591755992937976,1778827670.6048484,NORMAL
5,33.60382365524504,39.5349694810835,1778827670.6557221,HIGH
5,21.92133745352755,77.22192177628534,1778827670.707075,NORMAL
2,27.875762758307484,42.67007615161891,1778827670.7579594,HIGH
1,36.43195743838178,41.039623905176455,1778827670.8089247,HIGH
4,27.306030564639116,36.64264834823267,1778827670.8603816,HIGH
2,25.124369960844483,59.38761795550711,1778827670.9123888,HIGH
1,26.16788840170934,53.23396827098618,1778827670.9634829,HIGH
5,32.40156284725338,47.21192922854917,1778827671.0143144,HIGH
5,30.037720086085926,75.64315742953502,1778827671.0649545,HIGH
1,36.37638702601471,73.128929492084,1778827671.1157928,HIGH
5,22.406528419816492,35.961353520801914,1778827671.1666112,NORMAL
4,27.528315522349708,68.736257123521,1778827671.2174256,HIGH
2,39.63282421000338,70.31073938945956,1778827671.268245,HIGH
4,22.551145697302537,47.197760448973526,1778827671.3190346,NORMAL
4,20.17069503697337,36.25830053529556,1778827671.370036,NORMAL
1,32.72905884689712,55.24782674399415,1778827671.420871,HIGH
2,20.809843315032367,80.95741976821901,1778827671.4717057,NORMAL
1,21.90776625389284,45.56385587882213,1778827671.522342,NORMAL
4,29.857049659270505,59.999303524921814,1778827671.5733466,HIGH
3,24.751338331226194,67.53898558314467,1778827671.6242352,NORMAL
4,25.830790818337277,60.25904472659957,1778827671.675136,HIGH
1,29.86003727743893,69.97271418190502,1778827671.7261298,HIGH
4,30.950426479882942,33.499107916397,1778827671.776923,HIGH
3,37.21663480226532,89.21440045708299,1778827671.828021,HIGH
4,31.074245145974412,80.72517312525153,1778827671.8785796,HIGH
4,39.779130626020276,74.28650088379784,1778827671.9297178,HIGH
2,32.379910067997955,73.87757927646831,1778827671.9803932,HIGH
5,29.22859936473646,37.614714119780835,1778827672.0351343,HIGH
4,22.10361050845692,89.42299392589865,1778827672.0858083,NORMAL
1,28.47509830012776,57.578610267973005,1778827672.1369512,HIGH
1,28.79586999142738,30.916229430292944,1778827672.1876009,HIGH
5,31.511276626996953,63.97919049006716,1778827672.2385411,HIGH
